n,heapsort.time
150000,117
180000,157
210000,205
240000,258
270000,341
300000,446
330000,460
360000,488
390000,651
420000,708
450000,667
480000,730
510000,816
540000,877
570000,914
600000,993
630000,1270
660000,1637
690000,1503
720000,1614
750000,1693
780000,1755
810000,1886
840000,1714
870000,2153
900000,2263
930000,2185
960000,1924
990000,2420
1020000,2621
1050000,2569
1080000,2780
1110000,2875
1140000,3096
1170000,3317
1200000,3075
1230000,3262
1260000,3123
1290000,3327
1320000,3528
1350000,3782
1380000,3619
1410000,3828
1440000,3893
1470000,3999
